[19-Jan-2015 10:50:44 America/Los_Angeles] PHP Fatal error:  Call to undefined function add_filter() in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\plugins\WordPress\WordPress.php on line 53
[19-Jan-2015 11:05:27 America/Los_Angeles] PHP Warning:  date() [<a href='function.date'>function.date</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'America/Los_Angeles' for '-8.0/no DST' instead in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\lib\downcast\DowncastBase.php on line 277
[19-Jan-2015 11:05:59 America/Los_Angeles] PHP Warning:  date_default_timezone_get() [<a href='function.date-default-timezone-get'>function.date-default-timezone-get</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'America/Los_Angeles' for '-8.0/no DST' instead in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\lib\downcast\Downcast.php on line 34
[19-Jan-2015 11:05:59 America/Los_Angeles] PHP Warning:  date() [<a href='function.date'>function.date</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'America/Los_Angeles' for '-8.0/no DST' instead in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\lib\downcast\DowncastBase.php on line 277
[19-Jan-2015 11:06:50 America/Los_Angeles] PHP Parse error:  syntax error, unexpected ',' in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\lib\downcast\Downcast.php on line 32
[19-Jan-2015 11:09:46 America/Los_Angeles] PHP Warning:  date_default_timezone_get() [<a href='function.date-default-timezone-get'>function.date-default-timezone-get</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'America/Los_Angeles' for '-8.0/no DST' instead in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\lib\downcast\Downcast.php on line 39
[19-Jan-2015 11:09:46 America/Los_Angeles] PHP Warning:  date() [<a href='function.date'>function.date</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'America/Los_Angeles' for '-8.0/no DST' instead in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\lib\downcast\DowncastBase.php on line 285
[19-Jan-2015 11:48:14 America/Los_Angeles] PHP Fatal error:  Call to undefined method FindMyHost_BuildHostLookups::downcast() in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\plugins\FindMyHost\shell-scripts\BuildHostLookups.php on line 134
[19-Jan-2015 11:48:29 America/Los_Angeles] PHP Fatal error:  Call to undefined method FindMyHost_BuildHostLookups::debugLog() in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\plugins\FindMyHost\shell-scripts\BuildHostLookups.php on line 134
[19-Jan-2015 11:48:39 America/Los_Angeles] PHP Fatal error:  Call to undefined method FindMyHost_BuildHostLookups::downcast() in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\plugins\FindMyHost\shell-scripts\BuildHostLookups.php on line 134
[19-Jan-2015 11:49:01 America/Los_Angeles] PHP Fatal error:  Call to undefined method FindMyHost_BuildHostLookups::debugLog() in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\plugins\FindMyHost\shell-scripts\BuildHostLookups.php on line 134
[19-Jan-2015 11:52:42 America/Los_Angeles] PHP Fatal error:  Call to undefined method FindMyHost_BuildHostLookups::debugLog() in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\plugins\FindMyHost\shell-scripts\BuildHostLookups.php on line 151
[19-Jan-2015 12:03:29 America/Los_Angeles] PHP Warning:  preg_match() expects at least 2 parameters, 0 given in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\lib\downcast\DowncastBase.php on line 3185
[19-Jan-2015 12:42:42 America/Los_Angeles] PHP Fatal error:  Using $this when not in object context in C:\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\plugins\FindMyHost\shell-scripts\build-host-lookups.php on line 35
[19-Jan-2015 13:12:35 America/Los_Angeles] PHP Fatal error:  Call to undefined function get_host_clues() in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\plugins\FindMyHost\shell-scripts\BuildHostLookups.php on line 222
[19-Jan-2015 13:14:17 America/Los_Angeles] PHP Fatal error:  Call to undefined function get_host_clues() in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\plugins\FindMyHost\shell-scripts\BuildHostLookups.php on line 222
[19-Jan-2015 13:14:24 America/Los_Angeles] PHP Warning:  Missing argument 1 for FindMyHost::getHostClues(), called in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\plugins\FindMyHost\shell-scripts\BuildHostLookups.php on line 222 and defined in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\plugins\FindMyHost\FindMyHost.php on line 181
[19-Jan-2015 14:55:37 America/Los_Angeles] PHP Fatal error:  Call to undefined function get_hosting_company() in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\plugins\FindMyHost\shell-scripts\BuildHostLookups.php on line 231
[19-Jan-2015 14:56:10 America/Los_Angeles] PHP Warning:  implode() [<a href='function.implode'>function.implode</a>]: Argument must be an array in E:\users\dev_cygwin\cygwin\home\adruff\wamp-www\getthathost.com\public_html\wp-content\plugins\downcastwp\plugins\FindMyHost\shell-scripts\BuildHostLookups.php on line 244
